"cvemodeloeducativo,""cveplanestudio"",""descripcion"",""descorta"""
2008,Basico,Componente Basico Inicial,PT-B 
2008,NO ASIGNADO,NO ASIGNADO,PT-B 
2008,ASDI08T,Profesional Técnico Asistente Directivo,PT Asistente Directivo
2008,DENT08T,Profesional Técnico Asistente y Protesista Dental,PT Asistente y Protesista Dental
2008,AUTO08T,Profesional Técnico Automotriz,PT Automotriz
2008,ADMO08T,Profesional Técnico en Administración,PT en Administración
2008,ALBE08T,Profesional Técnico en Alimentos y Bebidas,PT en Alimentos y Bebidas
2008,ARTE08T,Profesional Técnico en Artes Gráficas,PT en Artes Gráficas
2008,TRAN14T,Profesional Técnico en Autotransporte,PT en Autotransporte
2008,ATRO08T,Profesional Técnico en Autotrónica,PT en Autotrónica
2008,CCAM08T,Profesional Técnico en Conservación del Medio Ambiente,PT en Conservación del Medio Ambiente
2008,CONS08T,Profesional Técnico en Construcción,PT en Construcción
2008,CONA13T,Profesional Técnico en Contabilidad,PT en Contabilidad
2008,CONT08T,Profesional Técnico en Contaduría,PT en Contaduría
2008,COCA08T,Profesional Técnico en Control de Calidad,PT en Control de Calidad
2008,CURT08T,Profesional Técnico en Curtiduría,PT en Curtiduría
2008,ELIN08T,Profesional Técnico en Electricidad Industrial,PT en Electricidad Industrial
2008,EMEC08T,Profesional Técnico en Electromecánica Industrial,PT en Electromecánica Industrial
2008,ENFE08T,Profesional Técnico en Enfermería General,PT en Enfermería General
2008,ESCE12T,Profesional Técnico en Escenotecnia,PT Profesional Técnico en Escenotecnia
2008,EGAD08T,Profesional Técnico en Expresión Gráfica Digital,PT en Expresión Gráfica Digital
2008,FAEN08T,Profesional Técnico en Fuentes Alternas de Energía,PT en Fuentes Alternas de Energía
2008,HOSP08T,Profesional Técnico en Hospitalidad Turística,PT en Hospitalidad Turística
2008,INAU16T,Profesional Técnico en Industria Automotriz,PT en Industria Automotriz
2008,INVE08T,Profesional Técnico en Industria del Vestido,PT en Industria del Vestido
2008,INFO08T,Profesional Técnico en Informática,PT en Informática
2008,LARE08T,Profesional Técnico en Laministería y Recubrimiento de las Aeronaves,PT en Laministería y Recubrimiento de las Aeronaves
2008,MAUT13T,Profesional Técnico en Mantenimiento Automotriz,PT en Mantenimiento Automotriz
