cvemodeloeducativo,cveplanestudio,cvemodulo,grado,cvetrayecto,cvetipomodulo,consecutivoorden,estado,creditos,descripcion,descorta,siglema
2008,ADMO08,APRE03,1,XXX,FB,1,A,,Autogestión del aprendizaje.,Autogestión del aprendizaje.,APRE
2008,ADMO08,PROP04,1,XXX,FB,2,A,,Proyección personal y profesional.,Proyección personal y profesional.,PROP
2008,ADMO08,MAEC04,1,XXX,FB,3,A,,Manejo de espacios y cantidades.,Manejo de espacios y cantidades.,MAEC
2008,ADMO08,COIN03,1,XXX,FB,4,A,,Comunicación para la interacción social.,Comunicación para la interacción social.,COIN
2008,ADMO08,PIPM03,1,XXX,FB,5,A,,Procesamiento de información por medios digitales.,Procesamiento de información por medios digitales.,PIPM
2008,ADMO08,REDE03,1,XXX,FB,6,A,,Resolución de problemas.,Resolución de problemas.,REDE
2008,ADMO08,DECI03,1,XXX,FB,7,A,,Desarrollo ciudadano.,Desarrollo ciudadano.,DECI
2008,ADMO08,CAEP02,2,XXX,FB,1,A,,Comunicación en los ámbitos escolar y profesional.,Comunicación en los ámbitos escolar y profesional.,CAEP
2008,ADMO08,IBIO02,2,XXX,FB,2,A,,Identificación de la biodiversidad.,Identificación de la biodiversidad.,IBIO
2008,ADMO08,ININ02,2,XXX,FB,3,A,,Interacción inicial en inglés.,Interacción inicial en inglés.,ININ
2008,ADMO08,MADI02,2,XXX,FB,4,A,,Manejo de aplicaciones por medios digitales.,Manejo de aplicaciones por medios digitales.,MADI
2008,ADMO08,REAN03,2,XXX,FB,5,A,,Representación simbólica y angular del entorno.,Representación simbólica y angular del entorno.,REAN
2008,ADMO08,AMAE03,2,XXX,FB,6,A,,Análisis de la materia y la energía.,Análisis de la materia y la energía,AMAE
2008,ADMO08,MCON03,2,XXX,FP,7,A,,Manejo del proceso contable.,,MCON
2008,ADMO08,MPAD04,2,XXX,FP,8,A,,Manejo del proceso administrativo.,,MPAD
2008,ADMO08,OREM03,2,XXX,FP,9,A,,Organización de empresas.,,OREM
2008,ADMO08,CAIN02,3,XXX,FB,1,A,,Comunicación activa en inglés.,Comunicación activa en inglés.,CAIN
2008,ADMO08,IFIM03,3,XXX,FB,2,A,,Interpretación de fenómenos físicos de la materia.,Interpretación de fenómenos físicos de la materia.,IFIM
2008,ADMO08,REFU03,3,XXX,FB,3,A,,Representación gráfica de funciones.,Representación gráfica de funciones.,REFU
2008,ADMO08,APVE02,3,XXX,FP,4,A,,Administración del proceso de compra-venta.,,APVE
2008,ADMO08,CALF03,3,XXX,FP,5,A,,Cálculo financiero.,,CALF
2008,ADMO08,MAPM02,3,XXX,FP,6,A,,Manejo del proceso mercadotécnico.,,MAPM
2008,ADMO08,MPRM03,3,XXX,FP,7,A,,Manejo del proceso mercantil.,,MPRM
2008,ADMO08,OSIS03,3,XXX,FP,8,A,,Operación de sistemas contables.,,OSIS
2008,ADMO08,CIIN02,4,XXX,FB,1,A,,Comunicación independiente en inglés.,Comunicación independiente en inglés.,CIIN
"2008,ADMO08,COFE02,4,XXX,FB,2,A,,""Contextualización de fenómenos sociales, políticos y económicos."",""Contextualización de fenómenos sociales, políticos y económicos."",COFE"
2008,ADMO08,TADA03,4,XXX,FB,3,A,,Tratamiento de datos y azar.,Tratamiento de datos y azar.,TADA
2008,ADMO08,ADCC02,4,XXX,FP,4,A,,Administración de crédito y cobranza.,,ADCC
2008,ADMO08,ADPO02,4,XXX,FP,5,A,,Administración del proceso de producción.,,ADPO
2008,ADMO08,OCOS03,4,XXX,FP,6,A,,Operación del sistema de costos.,,OCOS
"2008,ADMO08,AFEO02,4,FIM,TP,21,A,,""Análisis de fenómenos eléctricos, electromagnéticos y ópticos."",""Análisis de fenómenos eléctricos, electromagnéticos y ópticos."",AFEO"
2008,ADMO08,DROE02,4,QUM,TP,22,A,,Descripción de la relación entre compuestos orgánicos y el entorno.,Descripción de la relación entre compuestos orgánicos y el entorno,DROE
2008,ADMO08,IFAH02,4,ECA,TP,23,A,,Interpretación de fenómenos microeconómicos.,Interpretación de fenómenos microeconómicos.,IFAH
2008,ADMO08,IFES02,4,SOH,TP,24,A,,Interpretación de hechos y fenómenos en estructuras sociales.,Interpretación de hechos y fenómenos en estructuras sociales.,IFES
2008,ADMO08,ANMR02,4,MNS,TT,41,A,,Aplicación de la normatividad en materia de recursos humanos.,,ANMR
2008,ADMO08,CLAR03,4,MTI,TT,42,A,,Clasificación arancelaria.,,CLAR
2008,ADMO08,CLEI02,4,IPA,TT,43,A,,Comprensión de lectura y escritura en inglés.,,CLEI
2008,ADMO08,INME02,4,MEM,TT,44,A,,Investigación de mercados.,,INME
2008,ADMO08,MCAD02,4,MCA,TT,45,A,,Manejo de la contabilidad administrativa.,,MCAD
2008,ADMO08,TVEN02,4,OPV,TT,46,A,,Manejo de técnicas de venta.,,TVEN
2008,ADMO08,CEPR02,4,ORE,TT,47,A,,Coordinación de eventos programados.,,CEPR
2008,ADMO08,MSCO02,4,ATC,TT,48,A,,Manejo de sistemas de contabilidad.,,MSCO
2008,ADMO08,MMCRC,4,OCIE,TT,49,A,,Manejo del marco regulatorio de comercio para la industria de exportación.,,MMCRC
2008,ADMO08,CMIT,4,CPIT,TT,50,A,,Comunicación en inglés con el turista.,Comunicación en inglés con el turista,CMIT
2008,ADMO08,MPLO00,4,LGC,TT,51,A,,Manejo de procedimientos logísticos.,,MPLO
2008,ADMO08,CPIN02,5,XXX,FB,1,A,,Comunicación productiva en inglés.,Comunicación productiva en inglés.,CPIN
2008,ADMO08,INSO02,5,XXX,FB,2,A,,Interpretación de normas de convivencia social.,Interpretación de normas de convivencia social.,INSO
2008,ADMO08,ADAI02,5,XXX,FP,3,A,,Administración de almacenes e inventarios.,,ADAI
2008,ADMO08,FEMP03,5,XXX,FP,4,A,,Formación empresarial.,FEMP03,FEMP
2008,ADMO08,MSAE03,5,XXX,FP,5,A,,Manejo del sistema administrativo empresarial.,,MSAE
"2008,ADMO08,RESR02,5,XXX,FP,6,A,,""Reclutamiento, selección y contratación de recursos humanos."",,RESR"
2008,ADMO08,DRDI00,5,LGC,TT,7,A,,Diseño de redes de distribución.,,DRDI
2008,ADMO08,AIND02,5,FIM,TP,21,A,,Análisis derivativo de funciones.,Análisis derivativo de funciones,AIND
2008,ADMO08,DEMA02,5,ECA,TP,22,A,,Descripción de fenómenos macroeconómicos.,Descripción de fenómenos macroeconómicos.,DEMA
2008,ADMO08,IRMO03,5,QUM,TP,23,A,,Interpretación de la relación de reacciones metabólicas de los organismos.,Interpretación de la relación de reacciones metabólicas de los org,IRMO
2008,ADMO08,ITIN02,5,SOH,TP,24,A,,Interpretación y tratamiento de la información.,Interpretación y tratamiento de la información.,ITIN
"2008,ADMO08,ASSR02,5,MNS,TT,41,A,,""Administración de sueldos, salarios y remuneraciones."",,ASSR"
2008,ADMO08,ADFI02,5,MCA,TT,42,A,,Administración financiera.,,ADFI
2008,ADMO08,AEME02,5,MEM,TT,43,A,,Aplicación de estrategias de mercadotecnia.,,AEME
2008,ADMO08,ATSC02,5,OPV,TT,44,A,,Atención y servicio a clientes.,,ATSC
2008,ADMO08,CAEO02,5,IPA,TT,45,A,,Comprensión auditiva y expresión oral en Inglés.,,CAEO
2008,ADMO08,MDUC03,5,MTI,TT,46,A,,Manejo de documentación de comercio exterior.,,MDUC
2008,ADMO08,CRSP02,5,ORE,TT,47,A,,Coordinación de recorridos en sitios coloniales y pueblos mágicos.,,CRSP
2008,ADMO08,MCAD02,5,ATC,TT,48,A,,Manejo de la contabilidad administrativa.,,MCAD
2008,ADMO08,AMRC,5,OCIE,TT,49,A,,Aplicación del marco regulatorio de comercio para la industria de exportación.,,AMRC
2008,ADMO08,CIHR,5,CPIT,TT,50,A,,Comunicación en inglés en hoteles y restaurantes.,Comunicación en inglés en hoteles y restaurantes,CIHR
2008,ADMO08,FLSF,6,XXX,FB,1,A,,Filosofía.,Filosofía,FLSF
2008,ADMO08,AECA03,6,XXX,FP,2,A,,Aplicación de estándares de calidad.,,AECA
2008,ADMO08,CENG02,6,XXX,FP,3,A,,Comunicación especializada en inglés.,Comunicación especializada en inglés.,CENG
2008,ADMO08,CAFJ02,6,XXX,FP,4,A,,Control de activos fijos.,,CAFJ
2008,ADMO08,ELPR02,6,XXX,FP,5,A,,Elaboración de presupuestos.,,ELPR
2008,ADMO08,MSCI04,6,XXX,FP,6,A,,Manejo del sistema de contabilidad integral.,,MSCI
2008,ADMO08,MSNO03,6,XXX,FP,7,A,,Manejo del sistema de nómina integral.,,MSNO
2008,ADMO08,ACIU02,6,SOH,TP,21,A,,Actuación ciudadana.,Actuación ciudadana.,ACIU
2008,ADMO08,AING02,6,FIM,TP,22,A,,Análisis integral de funciones.,Análisis integral de funciones.,AING
2008,ADMO08,CAFI02,6,ECA,TP,23,A,,Cálculo de operaciones financieras de crédito.,Cálculo de operaciones financieras de crédito.,CAFI
2008,ADMO08,ICHU02,6,QUM,TP,24,A,,Identificación de la conducta humana.,Identificación de la conducta humana.,ICHU
2008,ADMO08,AIEF02,6,MCA,TT,41,A,,Análisis e interpretación de estados financieros.,,AIEF
2008,ADMO08,ATPM03,6,MTI,TT,42,A,,Aplicación de técnicas y procedimientos para el tráfico de mercancías.,,ATPM
2008,ADMO08,CPAS02,6,IPA,TT,43,A,,Comunicación profesional en el área de servicios.,,CPAS
2008,ADMO08,CPSS02,6,MNS,TT,44,A,,Control de prestaciones y seguridad social.,,CPSS
2008,ADMO08,MEIN02,6,MEM,TT,45,A,,Mercadotecnia internacional.,,MEIN
2008,ADMO08,VEBS02,6,OPV,TT,46,A,,Venta de bienes y servicios.,,VEBS
2008,ADMO08,CRZA02,6,ORE,TT,47,A,,Coordinación de recorridos en zonas arqueológicas y museos.,,CRZA
2008,ADMO08,OCOS03,6,ATC,TT,48,A,,Operación del sistema de costos.,,OCOS
2008,ADMO08,APRC,6,OCIE,TT,49,A,,Aplicación de procedimientos de comercio para la industria de exportación..,,APRC
2008,ADMO08,GSRI,6,CPIT,TT,50,A,,Gestión de servicios en inglés.,Gestión de servicios en inglés,GSRI
2008,ADMO08,GPRL,6,LGC,TT,51,A,0,Gestión de proyectos logísticos.,,GPRL
2008,ADMO08T,APRE03,1,XXX,FB,1,A,,Autogestión del aprendizaje.,Autogestión del aprendizaje.,APRE
2008,ADMO08T,PROP04,1,XXX,FB,2,A,,Proyección personal y profesional.,Proyección personal y profesional.,PROP
2008,ADMO08T,MAEC04,1,XXX,FB,3,A,,Manejo de espacios y cantidades.,Manejo de espacios y cantidades.,MAEC
2008,ADMO08T,COIN03,1,XXX,FB,4,A,,Comunicación para la interacción social.,Comunicación para la interacción social.,COIN
2008,ADMO08T,PIPM03,1,XXX,FB,5,A,,Procesamiento de información por medios digitales.,Procesamiento de información por medios digitales.,PIPM
2008,ADMO08T,REDE03,1,XXX,FB,6,A,,Resolución de problemas.,Resolución de problemas.,REDE
2008,ADMO08T,DECI03,1,XXX,FB,7,A,,Desarrollo ciudadano.,Desarrollo ciudadano.,DECI
2008,ADMO08T,CAEP02,2,XXX,FB,1,A,,Comunicación en los ámbitos escolar y profesional.,Comunicación en los ámbitos escolar y profesional.,CAEP
2008,ADMO08T,IBIO02,2,XXX,FB,2,A,,Identificación de la biodiversidad.,Identificación de la biodiversidad.,IBIO
2008,ADMO08T,ININ02,2,XXX,FB,3,A,,Interacción inicial en inglés.,Interacción inicial en inglés.,ININ
2008,ADMO08T,MADI02,2,XXX,FB,4,A,,Manejo de aplicaciones por medios digitales.,Manejo de aplicaciones por medios digitales.,MADI
2008,ADMO08T,REAN03,2,XXX,FB,5,A,,Representación simbólica y angular del entorno.,Representación simbólica y angular del entorno.,REAN
2008,ADMO08T,AMAE03,2,XXX,FB,6,A,,Análisis de la materia y la energía.,Análisis de la materia y la energía,AMAE
2008,ADMO08T,MCON03,2,XXX,FP,7,A,,Manejo del proceso contable.,,MCON
2008,ADMO08T,MPAD04,2,XXX,FP,8,A,,Manejo del proceso administrativo.,,MPAD
2008,ADMO08T,OREM03,2,XXX,FP,9,A,,Organización de empresas.,,OREM
2008,ADMO08T,CAIN02,3,XXX,FB,1,A,,Comunicación activa en inglés.,Comunicación activa en inglés.,CAIN
2008,ADMO08T,IFIM03,3,XXX,FB,2,A,,Interpretación de fenómenos físicos de la materia.,Interpretación de fenómenos físicos de la materia.,IFIM
2008,ADMO08T,REFU03,3,XXX,FB,3,A,,Representación gráfica de funciones.,Representación gráfica de funciones.,REFU
2008,ADMO08T,APVE02,3,XXX,FP,4,A,,Administración del proceso de compra-venta.,,APVE
2008,ADMO08T,CALF03,3,XXX,FP,5,A,,Cálculo financiero.,,CALF
2008,ADMO08T,MAPM02,3,XXX,FP,6,A,,Manejo del proceso mercadotécnico.,,MAPM
2008,ADMO08T,MPRM03,3,XXX,FP,7,A,,Manejo del proceso mercantil.,,MPRM
2008,ADMO08T,OSIS03,3,XXX,FP,8,A,,Operación de sistemas contables.,,OSIS
2008,ADMO08T,CIIN02,4,XXX,FB,1,A,,Comunicación independiente en inglés.,Comunicación independiente en inglés.,CIIN
"2008,ADMO08T,COFE02,4,XXX,FB,2,A,,""Contextualización de fenómenos sociales, políticos y económicos."",""Contextualización de fenómenos sociales, políticos y económicos."",COFE"
2008,ADMO08T,TADA03,4,XXX,FB,3,A,,Tratamiento de datos y azar.,Tratamiento de datos y azar.,TADA
2008,ADMO08T,ADCC02,4,XXX,FP,4,A,,Administración de crédito y cobranza.,,ADCC
2008,ADMO08T,ADPO02,4,XXX,FP,5,A,,Administración del proceso de producción.,,ADPO
2008,ADMO08T,OCOS03,4,XXX,FP,6,A,,Operación del sistema de costos.,,OCOS
2008,ADMO08T,ANMR02,4,MNS,TT,41,A,,Aplicación de la normatividad en materia de recursos humanos.,,ANMR
2008,ADMO08T,CLAR03,4,MTI,TT,42,A,,Clasificación arancelaria.,,CLAR
2008,ADMO08T,CLEI02,4,IPA,TT,43,A,,Comprensión de lectura y escritura en inglés.,,CLEI
2008,ADMO08T,INME02,4,MEM,TT,44,A,,Investigación de mercados.,,INME
2008,ADMO08T,MCAD02,4,MCA,TT,45,A,,Manejo de la contabilidad administrativa.,,MCAD
2008,ADMO08T,TVEN02,4,OPV,TT,46,A,,Manejo de técnicas de venta.,,TVEN
2008,ADMO08T,CEPR02,4,ORE,TT,47,A,,Coordinación de eventos programados.,,CEPR
2008,ADMO08T,MSCO02,4,ATC,TT,48,A,,Manejo de sistemas de contabilidad.,,MSCO
2008,ADMO08T,MMCRC,4,OCIE,TT,49,A,,Manejo del marco regulatorio de comercio para la industria de exportación.,,MMCRC
2008,ADMO08T,CMIT,4,CPIT,TT,50,A,,Comunicación en inglés con el turista.,Comunicación en inglés con el turista,CMIT
2008,ADMO08T,MPLO00,4,LGC,TT,51,A,,Manejo de procedimientos logísticos.,,MPLO
2008,ADMO08T,CPIN02,5,XXX,FB,1,A,,Comunicación productiva en inglés.,Comunicación productiva en inglés.,CPIN
2008,ADMO08T,INSO02,5,XXX,FB,2,A,,Interpretación de normas de convivencia social.,Interpretación de normas de convivencia social.,INSO
2008,ADMO08T,ADAI02,5,XXX,FP,3,A,,Administración de almacenes e inventarios.,,ADAI
