"cveentidad","entidad","cveunidadmin","descripcion","descorta"
1,Aguascalientes,3010630,Aguascalientes II,Aguascalientes II
1,Aguascalientes,3012840,Aguascalientes III,Aguascalientes III
1,Aguascalientes,3013180,Aguascalientes IV,Aguascalientes IV
1,Aguascalientes,3012470,Ing. Miguel Ángel Barberena Vega,Ing. Miguel Ángel Barberena Vega
1,Aguascalientes,3013190,Pabellón de Arteaga,Pabellón de Arteaga
1,Aguascalientes,3010160,Prof. J. Refugio Esparza Reyes,Refugio Esparza R
1,Aguascalientes,3012850,Tepezalá,Tepezalá
2,Baja California,3020640,Ensenada,Ensenada
2,Baja California,3022150,Ing. César Moreno Martínez de Escobar,César M. Mtz de E.
2,Baja California,3020170,Mexicali I,Mexicali I
2,Baja California,3021540,Mexicali II,Mexicali II
2,Baja California,3020180,Tijuana I,Tijuana I
2,Baja California,3021430,Tijuana II,Tijuana II
3,Baja California Sur,3030190,La Paz,La Paz
3,Baja California Sur,3032820,San José del Cabo,San José del Cabo
4,Campeche,3040210,Ciudad del Carmen,Ciudad del Carmen
4,Campeche,3042720,Dzitbalché,Dzitbalché
4,Campeche,3040200,Lic. Guillermo González Galera,Lic.Guillermo González G
5,Coahuila de Zaragoza,3051590,Ciudad Acuña,Acuña
5,Coahuila de Zaragoza,3052920,Frontera,Frontera
5,Coahuila de Zaragoza,3050660,Monclova,Monclova
5,Coahuila de Zaragoza,3050240,Muzquiz,Muzquiz
5,Coahuila de Zaragoza,3050100,Piedras Negras,Piedras Negras
5,Coahuila de Zaragoza,3050230,Saltillo I,Saltilllo I
5,Coahuila de Zaragoza,3052170,Saltillo II,Saltillo II
5,Coahuila de Zaragoza,3052550,San Pedro de las Colonias,Sn Pedro de las Col.
5,Coahuila de Zaragoza,3052160,Torreón,Torreón
6,Colima,3061810,Colima,Colima
6,Colima,3060610,Prof. Gustavo Alberto Vázquez Montes,Gustavo A.Vázquez M.
6,Colima,3063130,Tecoman,Tecoman
7,Chiapas,3073310,Altamirano,Altamirano
7,Chiapas,3070220,Chiapa de Corzo,Chiapa de Corzo
7,Chiapas,3070700,Comitán,Comitán
7,Chiapas,3070670,Huixtla,Huixtla
7,Chiapas,3072620,Ocosingo,Ocosingo
7,Chiapas,3070690,Palenque,Palenque
7,Chiapas,3073400,Pichucalco,Pichucalco
7,Chiapas,3071710,San Cristóbal de las Casas,Sn Cristóbal de las C
7,Chiapas,3073250,Tapachula,Tapachula
7,Chiapas,3071700,Tonalá-Chiapas,Tonalá
7,Chiapas,3070680,Tuxtla Chico,Tuxtla Chico
7,Chiapas,3073120,Tuxtla Gutiérrez,Tuxtla Gutiérrez
8,Chihuahua,3080250,Chihuahua I,Chihuahua I
8,Chihuahua,3082190,Chihuahua II,Chihuahua II
8,Chihuahua,3082180,Ciudad Cuauhtémoc,Ciudad Cuauhtémoc
8,Chihuahua,3082080,Ciudad Delicias,Ciudad Delicias
8,Chihuahua,3080260,Ciudad Juárez I,Ciudad Juárez I
