cveentidad;nombreentidad;siglema;abrevcurp;visible;descripcion;dominioemail
0;OF.NACIONALES;OFN;OF;1;OF.NACIONALES;ofn
1;Aguascalientes;AGS;AS;1;Aguascalientes;@ags.conalep.edu.mx
2;Baja California;BC;BC;1;Baja California;@bc.conalep.edu.mx
3;Baja California Sur;BCS;BS;1;Baja California Sur;@bcs.conalep.edu.mx
4;Campeche;CAM;CC;1;Campeche;@cam.conalep.edu.mx
5;Coahuila de Zaragoza;COAH;CL;1;Coahuila de Zaragoza;@coah.conalep.edu.mx
6;Colima;COL;CM;1;Colima;@col.conalep.edu.mx
7;Chiapas;CHIS;CS;1;Chiapas;@chis.conalep.edu.mx
8;Chihuahua;CHIH;CH;1;Chihuahua;@chih.conalep.edu.mx
9;Ciudad de México;CDMX;DF;1;Ciudad de México;@df.conalep.edu.mx
10;Durango;DGO;DG;1;Durango;@dgo.conalep.edu.mx
11;Guanajuato;GTO;GT;1;Guanajuato;@gto.conalep.edu.mx
12;Guerrero;GRO;GR;1;Guerrero;@gro.conalep.edu.mx
13;Hidalgo;HGO;HG;1;Hidalgo;@hgo.conalep.edu.mx
14;Jalisco;JAL;JC;1;Jalisco;@jal.conalep.edu.mx
15;México;MEX;MC;1;México;@conalepmex.edu.mx
16;Michoacán de Ocampo;MICH;MN;1;Michoacán de Ocampo;@mich.conalep.edu.mx
17;Morelos;MOR;MS;1;Morelos;@mor.conalep.edu.mx
18;Nayarit;NAY;NT;1;Nayarit;@nay.conalep.edu.mx
19;Nuevo León;NL;NL;1;Nuevo León;@nl.conalep.edu.mx
20;Oaxaca;OAX;OC;1;Oaxaca;@oax.conalep.edu.mx
21;Puebla;PUE;PL;1;Puebla;@pue.conalep.edu.mx
22;Querétaro de Arteaga;QRO;QT;1;Querétaro de Arteaga;@qro.conalep.edu.mx
23;Quintana Roo;QROO;QR;1;Quintana Roo;@qroo.conalep.edu.mx
24;San Luis Potosí;SLP;SP;1;San Luis Potosí;@slp.conalep.edu.mx
25;Sinaloa;SIN;SL;1;Sinaloa;@sin.conalep.edu.mx
26;Sonora;SON;SR;1;Sonora;@son.conalep.edu.mx
27;Tabasco;TAB;TC;1;Tabasco;@tab.conalep.edu.mx
28;Tamaulipas;TAM;TS;1;Tamaulipas;@tam.conalep.edu.mx
29;Tlaxcala;TLAX;TL;1;Tlaxcala;@tlaxcala.conalep.edu.mx
30;Veracruz Llave;VER;VZ;1;Veracruz Llave;@ver.conalep.edu.mx
31;Yucatán;YUC;YN;1;Yucatán;@yuc.conalep.edu.mx
32;Zacatecas;ZAC;ZS;1;Zacatecas;@zac.conalep.edu.mx
39;Servicio Exterior Mexicano;EXT;NE;1;Servicio Exterior Mexicano;@conalep.edu.mx
40;Conalep Servicios Institucionales;DSE;DS;1;Conalep Servicios Institucionales;@dse.conalep.edu.mx
